cluster_id,count,top_sw_l1,top_sw_l1_pct,sw_l1_entropy,top_industry,top_industry_pct,avg_pct_chg,std_pct_chg,avg_roe,std_roe,avg_pe_ttm,std_pe_ttm,avg_pb,std_pb,avg_total_mv,std_total_mv,avg_turnover_rate,std_turnover_rate,avg_Size,avg_Size_sw_neutral,avg_LogSize_sw_neutral,avg_NonlinearSize,avg_NonlinearSize_sw_neutral,avg_Value,avg_Value_sw_neutral,avg_Momentum,avg_Momentum_sw_neutral,avg_ShortReversal,avg_ShortReversal_sw_neutral,avg_Volatility,avg_Volatility_sw_neutral,avg_Liquidity,avg_Liquidity_sw_neutral,avg_Profitability,avg_Profitability_sw_neutral,avg_Growth,avg_Growth_sw_neutral,avg_Leverage,avg_Leverage_sw_neutral,avg_EarningsQuality,avg_EarningsQuality_sw_neutral,prototype_stocks
10,1,钢铁,1.0,-1.000000082690371e-10,特种钢,1.0,-1.6085000038146973,,15.736100196838379,,16.457500457763672,,3.4447999000549316,,2809365.75,,0.8129000067710876,,0.24393171072006226,0.12412580847740173,0.1918531060218811,0.24393171072006226,0.12412580847740173,-0.4995218813419342,-0.2997027337551117,,,,,,,-0.8171510696411133,-0.5635370016098022,0.9309042692184448,1.5623109340667725,0.19841046631336212,0.11508908122777939,-0.21331079304218292,-0.6169030666351318,,,002318.SZ
11,17,电子,0.29411764705882354,2.0844297672153504,半导体,0.17647058823529413,-1.1111470460891724,4.066841125488281,2.516852855682373,11.328703880310059,88.11163330078125,46.84865951538086,5.344176769256592,6.037819862365723,1903339.3897058824,1794737.8420038694,5.432563179801492,5.357422708277246,0.0020671505481004715,-0.10404402762651443,-0.11698757857084274,0.0020671505481004715,-0.10404402762651443,-0.03723533824086189,-0.05872734263539314,,,,,,,0.34786131978034973,0.3048160970211029,-0.08284027129411697,-0.09312883019447327,0.9405785799026489,0.8967918157577515,0.06304534524679184,0.0863635241985321,,,"301667.SZ,301611.SZ,920522.BJ"
12,252,机械设备,0.11904761904761904,3.051408234333621,软件服务,0.07539682539682539,-1.2081713676452637,2.9630911350250244,2.0531020164489746,9.680026054382324,96.42359161376953,169.59829711914062,4.36016845703125,4.5058417320251465,1767576.82047123,3524637.1987817595,3.775526224142975,3.9094803517294117,-0.034174781292676926,-0.03228585794568062,-0.04882951080799103,-0.034174781292676926,-0.03228585794568062,-0.0018872263608500361,-0.008763523772358894,,,,,,,-0.03310089558362961,-0.05379820615053177,-0.07617063820362091,-0.05541244149208069,-0.035863980650901794,-0.03079894185066223,-0.0717289000749588,-0.054786041378974915,,,"688802.SH,688012.SH,688018.SH"
13,40,基础化工,0.1,2.8956688944554263,建筑工程,0.1,-1.6677625179290771,2.7466957569122314,0.8215129971504211,12.981261253356934,87.37100982666016,160.7397918701172,4.542491436004639,5.579967021942139,1888549.1512343735,4453135.691005952,3.881504960358143,3.7432575838091324,-0.0018811107147485018,0.09707276523113251,0.04477221891283989,-0.0018811107147485018,0.09707276523113251,-0.053255535662174225,-0.038928769528865814,,,,,,,-0.015487655997276306,0.006081125233322382,-0.314836323261261,-0.25957366824150085,-0.04681086540222168,-0.0014747201930731535,0.012940147891640663,-0.08115638047456741,,,"301630.SZ,300969.SZ,301529.SZ"
14,83,机械设备,0.18072289156626506,2.821242333459929,专用机械,0.10843373493975904,-1.6005576848983765,3.0787885189056396,2.440173625946045,14.348712921142578,93.69609069824219,152.80239868164062,4.480231761932373,4.616615295410156,1707926.334555722,3194085.2495919266,3.802911533892873,3.366327272084989,-0.05009853467345238,0.03830832242965698,-0.00439492566511035,-0.05009853467345238,0.03830832242965698,-0.018290121108293533,-0.017032254487276077,,,,,,,-0.013988973572850227,0.016719866544008255,0.05442057549953461,0.047417543828487396,0.07954633980989456,0.10516473650932312,-0.004367712885141373,0.02931290678679943,,,"300395.SZ,688603.SH,688300.SH"
15,191,基础化工,0.12041884816753927,3.0126246830493217,化工原料,0.06806282722513089,-1.3642752170562744,2.497558832168579,2.2709736824035645,10.355504989624023,88.54240417480469,160.04991149902344,5.188422203063965,5.883090496063232,2155950.02779123,4109756.646976773,4.051668118812651,4.259310033818068,0.06950179487466812,0.0718122124671936,0.08733029663562775,0.06950179487466812,0.0718122124671936,-0.037485748529434204,-0.06232656165957451,,,,,,,0.035536013543605804,0.02966250106692314,0.0049170623533427715,0.026978183537721634,-0.009732650592923164,0.002558857901021838,0.08994872123003006,0.1276581585407257,,,"300750.SZ,301629.SZ,301345.SZ"
16,2,环保,0.5,0.6931471803599453,环境保护,0.5,-2.112499952316284,0.8420227766036987,6.647500038146973,5.017205238342285,36.68980026245117,11.023229598999023,2.8994998931884766,0.022344572469592094,287013.96875,53363.89036841255,2.2640000581741333,0.0018384455320451976,-0.4294123947620392,-0.46192657947540283,-0.4687321186065674,-0.4294123947620392,-0.46192657947540283,-0.35707521438598633,-0.3076184093952179,,,,,,,-0.3929768204689026,-0.23315264284610748,0.4624263644218445,0.21356356143951416,0.06768152117729187,0.11969008296728134,-0.2085181474685669,-0.17754819989204407,,,"300519.SZ,300187.SZ"
17,17,电子,0.17647058823529413,2.170048345460164,电器仪表,0.17647058823529413,-1.1554471254348755,1.6785999536514282,6.008758544921875,5.548551559448242,79.14269256591797,102.89596557617188,3.4290411472320557,2.114661693572998,1649655.231617647,2594582.8546174173,3.1837235233362984,2.15429260007466,-0.06565406918525696,-0.05029124766588211,-0.07916437089443207,-0.06565406918525696,-0.05029124766588211,-0.10068842768669128,-0.11721165478229523,,,,,,,-0.2249794602394104,-0.32002970576286316,0.6419817209243774,0.5874992609024048,-0.017259465530514717,-0.05350840091705322,-0.48370468616485596,-0.41935041546821594,,,"688583.SH,688576.SH,920005.BJ"
18,1,轻工制造,1.0,-1.000000082690371e-10,家居用品,1.0,-1.7516000270843506,,0.9724000096321106,,99.58989715576172,,2.6166000366210938,,226152.0,,3.9191999435424805,,-0.4456595480442047,-0.555010199546814,-0.46866682171821594,-0.4456595480442047,-0.555010199546814,-0.022507736459374428,0.07477965950965881,,,,,,,0.09884702414274216,0.1258450150489807,-0.017513614147901535,0.15426664054393768,-0.13965651392936707,-0.09715893119573593,0.4912741482257843,0.7624474167823792,,,001211.SZ
19,162,机械设备,0.08024691358024691,3.2058611929104277,元器件,0.06790123456790123,-0.9318647980690002,2.929166793823242,4.240650653839111,8.856536865234375,79.96636199951172,110.50896453857422,4.198201656341553,4.66063928604126,1962462.4602314804,4175997.3965361426,3.519611415259632,3.732089454126217,0.017850110307335854,-0.02162226289510727,-0.04496914893388748,0.017850110307335854,-0.02162226289510727,-0.09555631875991821,-0.08765817433595657,,,,,,,-0.06293650716543198,-0.040015291422605515,0.10925363749265671,0.09964386373758316,-0.14396655559539795,-0.14176183938980103,0.06054959446191788,-0.0008859899244271219,,,"301205.SZ,688235.SH,300972.SZ"
20,96,机械设备,0.10416666666666667,3.0438230178580943,元器件,0.08333333333333333,-1.2219250202178955,3.0436160564422607,2.282788038253784,10.682578086853027,122.43706512451172,175.85955810546875,4.698121547698975,4.490718841552734,1469287.337434896,2197126.672147421,4.724950808758536,5.225035554596814,-0.1138034462928772,-0.0651622861623764,-0.12194958329200745,-0.1138034462928772,-0.0651622861623764,0.15889835357666016,0.17384696006774902,,,,,,,0.2259022444486618,0.20946411788463593,-0.07777658849954605,-0.04162944480776787,0.0476081557571888,0.05464288964867592,-0.037352126091718674,-0.029938066378235817,,,"300751.SZ,301377.SZ,300782.SZ"
