record_id,stock_code,stock_name,asof_date,cluster_id,cluster_distance
48005a43e1cc68de871df7c9,000683.SZ,博源化工,2024-06-15,2,0.9423642158508301
ce4d9b699eec5bf84e37fe9e,000685.SZ,中山公用,2024-06-30,1,0.9651461839675903
09a636cb91370d9182cbf2e2,000686.SZ,东北证券,2024-06-15,1,0.9463543891906738
191a3211d0b1a6483ebd185d,000688.SZ,国城矿业,2024-06-15,2,1.0027320384979248
7331e49d11a583777f17e3b3,000690.SZ,宝新能源,2024-06-15,1,0.9783585071563721
d1057933c0c7f31109a812f7,000691.SZ,*ST亚太,2024-06-30,1,1.024706244468689
1b62066d846c27c82b1ba27e,000692.SZ,惠天热电,2024-06-30,1,0.9522934556007385
8157b4da5e461987fb42f3f0,000695.SZ,滨海能源,2024-06-15,1,0.9837177991867065
b52c8fe593a2f34ee0fc9769,000697.SZ,ST炼石,2024-06-30,2,0.9825419187545776
71e4733d036db426c3e39dfd,000698.SZ,ST沈化,2024-06-15,2,0.9868736267089844
51f1e0ee3c1d6df3f1bbc5f2,000700.SZ,模塑科技,2024-06-15,4,0.9211825728416443
46de5da65c3afdada5f18525,000701.SZ,厦门信达,2024-06-30,1,0.9849821925163269
cbe22abd12d4dcee4203411f,000702.SZ,正虹科技,2024-06-15,3,1.0136069059371948
4d7d62d7f036eac49de41f6b,000703.SZ,恒逸石化,2024-06-30,2,0.9718776345252991
d1495253b7cd7583ef330a30,000705.SZ,浙江震元,2024-06-30,3,0.9447344541549683
68e4a49c8098aee1a3a03532,000707.SZ,双环科技,2024-06-30,2,0.8841572403907776
6da0efdb1d6b50f608ca3d72,000708.SZ,中信特钢,2024-06-30,2,0.9899517297744751
46bd16d8a21e81dcb336d604,000709.SZ,河钢股份,2024-06-30,2,0.9641154408454895
dad37285a7633af43f02d73a,000710.SZ,贝瑞基因,2024-06-30,3,0.9371702075004578
1987f1ad05d8a6edf41d663a,000711.SZ,ST京蓝,2024-06-30,1,0.9647707939147949
46ac01976630e18d9d57ad80,000712.SZ,锦龙股份,2024-06-30,1,0.9655395150184631
797546154b1cb30da14a7e77,000713.SZ,国投丰乐,2024-06-15,1,1.0149301290512085
820721cc376f7165983e4c15,000715.SZ,中兴商业,2024-06-30,1,0.9629814028739929
2d023bb73963d0617f8be618,000716.SZ,黑芝麻,2024-06-30,3,0.9545207023620605
16d75b624f0111208ad08300,000717.SZ,中南股份,2024-06-30,2,0.9671862125396729
6f69716c3316a521fdf2e515,000718.SZ,苏宁环球,2024-06-30,5,0.725723385810852
a1059a0b489dd54440ea3c51,000719.SZ,中原传媒,2024-06-30,1,0.9625258445739746
498c6483c64d6b24f574c642,000720.SZ,新能泰山,2024-06-30,0,1.0019500255584717
dc6146bedc413ff3ef032c0c,000721.SZ,西安饮食,2024-06-30,1,0.9888076782226562
b7bd7e9f0c65a8050baa17a3,000722.SZ,湖南发展,2024-06-30,1,1.015286922454834
e1809f8d3cc66c3a7aea3034,000723.SZ,美锦能源,2024-06-15,2,1.020283579826355
eeabf4207f341a3a77c929fb,000726.SZ,鲁泰Ａ,2024-06-30,2,0.9742172956466675
77bc072b65506487b59381c3,000727.SZ,冠捷科技,2024-06-15,4,0.8974448442459106
9500f197e0e16ef3a4f5181a,000728.SZ,国元证券,2024-06-30,1,0.9340565204620361
772d0e707723ee90bf047d4f,000729.SZ,燕京啤酒,2024-06-15,1,1.014857530593872
95800f8338862a03993b15de,000731.SZ,四川美丰,2024-06-30,2,0.9705580472946167
98d81ce6fdafe30fd9dcf7ec,000733.SZ,振华科技,2024-06-30,4,0.9638962149620056
1e132138c4a94900cf5bd9f3,000735.SZ,罗牛山,2024-06-15,1,0.9968673586845398
11aeff750eba90583c2865be,000736.SZ,*ST中地,2024-06-30,1,0.9953815937042236
